id,fruit
DEBE00YYRJ000026,pear
DEBE01YYK0002OAo,gooseberry
DEBE01YYK0003Txs,pear
DEBE01YYK0002MQ0,apple
DEBE01YYK0003UJq,kiwi
DEBE01YYK0003VVU,pear
DEBE01YYK0002Ria,apple
DEBE00YYIJ00003e,gooseberry
DEBE01YYK0002TmN,gooseberry
DEBE01YYK0003Tkm,kiwi
DEBE01YYK0003V4M,banana
DEBE01YYK0002Pvf,apple
DEBE00YYWA00004k,apple
DEBE01YYK0003VDt,apple
DEBE01YYK0002T1j,apple
DEBE01YYK0003V0c,pear
DEBE01YYK0002Pes,pear
DEBE01YYK0003Vmi,kiwi
DEBE01YYK0003Ujx,kiwi
DEBE00YYWA00004m,banana
DEBE01YYK0002PeH,banana
DEBE01YYK0003UuP,pear
DEBE01YYK0002KRG,pear
DEBE01YYK0003VBi,apple
DEBE01YYK0002Kle,gooseberry
DEBE01YYK0003Trf,gooseberry
DEBE00YYWJ00005g,kiwi
DEBE00YYWJ00005h,kiwi
DEBE01YYK0003VPy,apple
DEBE01YYK0003VZY,banana
DEBE01YYK0003U5G,pear
DEBE01YYK0003V0b,gooseberry
DEBE01YYK0003VYN,gooseberry
DEBE01YYK0003UVw,pear
DEBE01YYK0003TwR,banana
DEBE01YYK0003ViS,apple
DEBE01YYK0003VTf,pear
DEBE01YYK0003UGt,pear
DEBE01YYK0003U65,kiwi
DEBE01YYK0003U3C,banana
DEBE01YYK0003UZg,banana
DEBE00YYJ10000Oj,gooseberry
DEBE00YY22S0006C,apple
DEBE01YYK0003V2X,kiwi
DEBE00YYT600005k,apple
DEBE01YYK0002SCQ,kiwi
DEBE00YYTf0000DN,banana
DEBE00YY22S0006A,banana
DEBE01YYK0002O4m,apple
DEBE01YYK0002N8w,banana
DEBE01YYK0002KqR,kiwi
DEBE01YYK0002QgS,apple
DEBE01YYK0002KhX,pear
DEBE01YYK0002KkP,pear
DEBE01YYK0002MZY,gooseberry
DEBE01YYK0002R6G,gooseberry
DEBE00YYTi0000C2,banana
DEBE00YYTi0000Bz,apple
DEBE00YYTi0000By,pear
DEBE00YYTi0000C0,pear
DEBE00YYTi0000C1,apple
DEBE00YYTi0000Bx,pear
DEBE00YYTi0000Bw,apple
DEBE00YYTi0000CC,apple
DEBE00YYTi0000C3,kiwi
DEBE00YYTf0000DE,pear
DEBE00YYTi0000C4,gooseberry
DEBE00YYTf0000DF,apple
DEBE00YYTf0000DU,gooseberry
DEBE00YYTi0000C5,pear
DEBE00YYTi0000CF,kiwi
DEBE00YYTi0000C9,kiwi
DEBE00YYTi0000CD,pear
DEBE00YYTi0000Bv,banana
DEBE00YYTf0000DI,apple
DEBE00YYTi0000CA,apple
DEBE00YYTf0000DG,apple
DEBE00YYTi0000C8,kiwi
DEBE00YYTi0000CE,pear
DEBE01YYK0003Ug1,pear
DEBE00YYTi0000Bu,gooseberry
DEBE00YYTi0000C6,gooseberry
DEBE00YYTf0000D9,pear
DEBE00YYTf0000DA,gooseberry
DEBE00YYTi0000C7,pear
DEBE00YYTi0000CG,gooseberry
DEBE01YYK0002Qmf,gooseberry
DEBE00YYTi0000CB,pear
DEBE00YYTi0000CH,pear
DEBE00YYTf0000D1,pear
DEBE01YYK0002UXN,gooseberry
DEBE01YYK0002Lgg,pear
DEBE01YYK0002Kau,gooseberry
DEBE01YYK0002LXT,gooseberry
DEBE01YYK0002Kfp,apple
DEBE00YYT600005H,gooseberry
DEBE01YYK0002O8c,gooseberry
DEBE01YYK0002Kgr,apple
DEBE00YYTf0000DK,banana
DEBE00YYTf0000DL,pear
DEBE01YYK0003VMd,kiwi
DEBE00YYTf0000D6,banana
DEBE00YYTf0000Bk,kiwi
DEBE01YYK0003U6g,banana
DEBE01YYK0002MgI,kiwi
DEBE01YYK0003VEb,apple
DEBE01YYK0003U9n,apple
DEBE01YYK0001xeg,gooseberry
DEBE01YYK0001yg4,pear
DEBE01YYK0001xK8,pear
DEBE01YYK0000CoF,kiwi
DEBE00YYyX00000Z,gooseberry
DEBE01YYK00000xZ,kiwi
DEBE00YY20g0005M,gooseberry
DEBE00YY20g0005J,kiwi
DEBE00YY20g0005L,banana
DEBE01YYK0001xGY,gooseberry
DEBE01YYK0003VKJ,gooseberry
DEBE01YYK0003TtN,pear
DEBE01YYK0003VeU,pear
DEBE01YYK0003Umw,kiwi
DEBE01YYK0003VTV,kiwi
DEBE00YYUu0000Dj,kiwi
DEBE01YYK0003Vbv,pear
DEBE01YYK0003TtF,kiwi
DEBE00YYUu0000Dk,banana
DEBE01YYK0003Tu0,gooseberry
DEBE01YYK0003UUn,pear
DEBE01YYK0003UCP,gooseberry
DEBE01YYK00005iG,gooseberry
DEBE01YYK000020A,kiwi
DEBE01YYK0003U3t,apple
DEBE01YYK0002QS0,pear
DEBE01YYK0002Kn7,banana
DEBE00YYyX00000b,banana
DEBE01YYK0003UwC,pear
DEBE01YYK0003UDf,kiwi
DEBE01YYK0003VCM,pear
DEBE01YYK00003Qp,banana
DEBE01YYK0003UTH,gooseberry
DEBE01YYK0003TzK,gooseberry
DEBE01YYK0002PeB,kiwi
DEBE01YYK0003UJO,apple
DEBE01YYK0001xm3,gooseberry
DEBE01YYK00007Jp,kiwi
DEBE01YYK0001xIs,pear
DEBE01YYK00001Q1,pear
DEBE01YYK00005EC,gooseberry
DEBE01YYK00000uL,apple
DEBE01YYK00009bs,pear
DEBE01YYK0001xpb,kiwi
DEBE01YYK00003nQ,banana
DEBE01YYK0001yqY,kiwi
DEBE01YYK0000ByW,gooseberry
DEBE01YYK0000FNR,apple
DEBE01YYK00006hH,apple
DEBE01YYK0000AkQ,kiwi
DEBE01YYK0001z4M,gooseberry
DEBE01YYK0000BOv,apple
DEBE00YYyX00000j,banana
DEBE01YYK0001y29,apple
DEBE01YYK0000DYk,gooseberry
DEBE01YYK0000DEO,banana
DEBE01YYK0001xnZ,kiwi
